t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,1,99762895,34.744576,118,AQUA NEPAL BISLERI-NEPAL,AQUA ABE HAYAT,AQUA ABE HAYAT,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,2,40111004,101.602425,118,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,BISLERI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,3,40111005,103.18863,118,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,BISLERI,PET 2000 ML,PET,2000.000 ML,,,2000.0,ML,0.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,4,40110810,104.051575,118,AQUA SUNDARI PVT LTD-NEPAL,AQUA DB,AQUA DB,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,5,40121664,109.9928,118,AQUA SMART SPRING WATER-NEPAL,AQUA BISLE,AQUA BISLE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,6,40123908,111.27274,118,BIRATNEER JAL UDHYOG-NEPAL,PARIS AQUA,PARIS AQUA,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,7,46731,111.49608,118,BIPASHA AQUA INDUSTRIES-NEPAL,AQUA BELINE,AQUA BELINE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,8,52253,111.52277,118,PASHUPATI AQUA INDS-NEPAL,SATYAM,SATYAM,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,9,50790,111.546646,118,AQUA NEPAL BISLERI-NEPAL,GOOD DRINKS,GOOD DRINKS,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,10,40111006,111.76203,118,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,BISLERI,PET 500 ML,PET,500.000 ML,,,500.0,ML,0.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,1,99762689,42.951874,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES SMALL(S) PPH 6 NOS,PLPCH,6.000 NO,,,6.0,NO,100.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,2,99762911,44.944263,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES MEDIUM (M) PPH 52 NOS,PLPCH,52.000 NO,,,52.0,NO,950.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,3,99762687,45.26246,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES SMALL(S) PPH 5 NOS,PLPCH,5.000 NO,,,5.0,NO,100.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,4,99762688,46.066948,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES MEDIUM (M) PPH 5 NOS,PLPCH,5.000 NO,,,5.0,NO,100.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,5,99762657,47.74305,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES LARGE(L) PPH 5 NOS,PLPCH,5.000 NO,,,5.0,NO,100.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,6,99764405,48.574955,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES LARGE(L) PPH 4 NOS,PLPCH,4.000 NO,,,4.0,NO,100.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,7,99763061,50.739475,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES LARGE(L) PPH 48 NOS,PLPCH,48.000 NO,,,48.0,NO,960.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,8,99762705,52.466694,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-SOFT & DRY LARGE(L) PPH 4 NOS,PLPCH,4.000 NO,,,4.0,NO,80.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,9,99762706,52.683544,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-SOFT & DRY SMALL (S) PPH 5 NOS,PLPCH,5.000 NO,,,5.0,NO,80.0
132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,10,99762623,55.878777,132,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES EXTRA LARGE(XL) PPH 4 NOS,PLPCH,4.000 NO,,,4.0,NO,100.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,1,50274,134.37779,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLN FRS PPH 1000 GM+FR VIM BAR 85G,PLPCH,1000.000 GM,,,1000.0,GM,0.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,2,99762423,137.56958,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN FRESH PPH 750 GM,PLPCH,750.000 GM,,,750.0,GM,75.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,3,99762424,138.56744,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN FRESH PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,4,53599,139.5261,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN FRESH PPH 160 GM,PLPCH,160.000 GM,,,160.0,GM,0.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,5,99763979,139.9125,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN FRESH PPH 950 GM,PLPCH,950.000 GM,,,950.0,GM,110.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,6,99764625,139.95732,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN & FRESH PPH 900 GM,PLPCH,900.000 GM,,,900.0,GM,110.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,7,99764844,140.1727,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN & FRESH PPH 150 GM,PLPCH,150.000 GM,,,150.0,GM,20.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,8,99762769,140.345,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN & FRESH PPH 850 GM,PLPCH,850.000 GM,,,850.0,GM,75.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,9,49956,140.5214,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN FRESH PPH 170 GM,PLPCH,170.000 GM,,,170.0,GM,0.0
122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,10,49512,140.68962,122,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLEAN FRESH PPH 175 GM,PLPCH,175.000 GM,,,175.0,GM,0.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,1,50150,17.21331,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-LAUNDRY SOAP PPH 220 GM,PLPCH,220.000 GM,,,220.0,GM,0.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,2,49825,18.336742,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-LAUNDRY SOAP PPH 210 GM,PLPCH,210.000 GM,,,210.0,GM,0.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,3,53650,18.414093,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,0.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,4,99763524,18.793997,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-LAUNDRY SOAP PPH 3*300 GM [900GM],PLPCH,300.000 GM,,,900.0,GM,175.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,5,99762901,19.718328,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-LAUNDRY SOAP PPH 3*167 GM [500GM],PLPCH,167.000 GM,,,500.0,GM,100.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,6,52448,20.038113,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-LAUNDRY SOAP PPH 3*220 GM,PLPCH,220.000 GM,,,660.0,GM,0.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,7,51127,20.956581,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-XTRAA LAUNDRY SOAP PPH 105 GM,PLPCH,105.000 GM,,,105.0,GM,0.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,8,50548,21.187372,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-XTRAA LAUNDRY SOAP PPH 6*200 GM,PLPCH,200.000 GM,,,1200.0,GM,0.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,9,46260,22.207115,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-XTRAA LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,0.0
123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,10,54377,22.407118,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-XTRAA LAUNDRY SOAP PPH 210 GM,PLPCH,210.000 GM,,,210.0,GM,0.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,1,99763541,122.37782,118,NESTLE INDIA LTD. - INDIA,NESCAFE,NESCAFE HAZELNUT,HAZELNUT TPK 180 ML,TPK,180.000 ML,HAZELNUT,,180.0,ML,75.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,2,99763480,191.23082,118,NESTLE INDIA LTD. - INDIA,NESCAFE,NESCAFE INTENSE CAFE,CAPPUCCINO TPK 180 ML,TPK,180.000 ML,CAPPUCCINO,,180.0,ML,75.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,3,99764953,203.00468,118,NESTLE INDIA LTD. - INDIA,NESCAFE,NESCAFE CHOCO MOCHA,CHOCO MOCHA TPK 180 ML,TPK,180.000 ML,CHOCOLATE,,180.0,ML,90.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,4,99763479,208.59448,118,NESTLE INDIA LTD. - INDIA,NESCAFE,NESCAFE CHILLED LATTE,COFFEE & MILK TPK 180 ML,TPK,180.000 ML,COFFEE,,180.0,ML,75.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,5,99764248,242.83989,118,NESTLE INDIA LTD. - INDIA,NESTLE,NESTLE MILO,COCOA-MALT MILK TPK 180 ML,TPK,180.000 ML,COCOA-MALT MILK,,180.0,ML,70.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,6,20110446,243.14917,118,RIJAL TASHI IND. PVT LTD-NEPAL,DRUK,DRUK,PINEAPPLE CAN 240 ML,CAN,240.000 ML,PINEAPPLE,,240.0,ML,0.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,7,20110151,243.32225,118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,DEL MONTE,SWEETEND PINEAPLE CAN 240 ML,CAN,240.000 ML,PINEAPPLE,,240.0,ML,0.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,8,54744,245.07376,118,SNK INTERNATIONAL-NEPAL,FREEZIK,FREEZIK,ALMOND DELIGHT CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,0.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,9,20127629,248.34769,118,JEENHUATE FOOD - MALYASIA,JEFI,JEFI,PINEAPPLE-CAN 240 ML,CAN,240.000 ML,PINEAPPLE,,240.0,ML,0.0
118,NESCAFE HAZELNUT ,NESCAFE ,NESCAFE,35.0,TPK,180ML,10,20110220,250.60173,118,RIJAL TASHI IND. PVT LTD-NEPAL,DRUK,DRUK,PINEAPPLE TIN 800 ML,TIN,800.000 ML,PINEAPPLE,,800.0,ML,0.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,1,51219,31.12898,122,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,0.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,2,99762902,31.666801,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT-ASH & LEMON PPH 150 GM,PLPCH,150.000 GM,,,150.0,GM,20.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,3,50345,32.082806,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT EWP 280 GM,EWRPK,280.000 GM,,,280.0,GM,0.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,4,51611,32.619358,122,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT ACTIVE PPH 500G,PLPCH,500.000 GM,,,500.0,GM,0.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,5,52456,32.840767,122,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT ACTIVE PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,0.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,6,51834,34.674942,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT EWP 250 GM DTRGN CAK,EWRPK,250.000 GM,,,250.0,GM,0.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,7,99762991,36.977596,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKTA EWP 90 GM,EWRPK,90.000 GM,,,90.0,GM,10.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,8,99763034,37.677666,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT-ASH & LEMON PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,22.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,9,49502,41.393444,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERBAL YUKT EWP 175 GM,EWRPK,175.000 GM,,,175.0,GM,0.0
123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,10,50740,86.38287,123,PATANJALI AYURVED PVT LTD-NEPAL,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKTA EWP 95 GM,EWRPK,95.000 GM,,,95.0,GM,0.0
122,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3 IN 1,DINESH 3 IN 1\500\GM,50.0,PPH,500GM,1,99762677,28.747906,122,DINESH SOAP & HOUSEHOLD-NPL,DINESH,DINESH 3IN1,DINESH 3IN1-PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,90.0
122,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3 IN 1,DINESH 3 IN 1\500\GM,50.0,PPH,500GM,2,52198,31.057896,122,DINESH SOAP & HOUSEHOLD-NPL,DINESH,DINESH 3IN1,DINESH 3IN1-PPH 250 GM,PLPCH,250.000 GM,,,250.0,GM,0.0
122,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3 IN 1,DINESH 3 IN 1\500\GM,50.0,PPH,500GM,3,99762676,32.99332,122,DINESH SOAP & HOUSEHOLD-NPL,DINESH,DINESH 3IN1,DINESH 3IN1-PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0
122,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3 IN 1,DINESH 3 IN 1\500\GM,50.0,PPH,500GM,4,52462,34.880646,122,DINESH SOAP & HOUSEHOLD-NPL,DINESH,DINESH 3IN1,DINESH 3IN1-PPH 900 GM,PLPCH,900.000 GM,,,900.0,GM,0.0
122,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3 IN 1,DINESH 3 IN 1\500\GM,50.0,PPH,500GM,5,99762552,37.55611,122,DINESH SOAP & HOUSEHOLD-NPL,DINESH,DINESH 3IN1,DINESH 3IN1-LIME GREEN PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,50.0
122,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3 IN 1,DINESH 3 IN 1\500\GM,50.0,PPH,500GM,6,99764408,39.671967,122,DINESH SOAP & HOUSEHOLD-NPL,DINESH,DINESH 3IN1,DINESH 3IN1-LIME GREEN PPH 750 GM,PLPCH,750.000 GM,,,750.0,GM,100.0
